discount_name,orders,total_gross_sales,total_discount_amount,total_returns,total_net_sales,total_shipping_price,total_tax_amount,grand_total_sales
4LGADQW0,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
FBT-BUNDLE-P-184D47FA4C2,1,269.900,-14.990,0.000,154.950,0.000,0.000,154.950
FOHOD6OI,1,49.990,-7.490,0.000,42.500,9.500,0.000,53.000
3PU9JVOH,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
NWHBXXCG,1,149.970,-22.490,0.000,127.480,0.000,0.000,133.850
GRXPBBIH,1,99.980,-14.990,0.000,84.990,5.000,0.000,89.990
QGZJZGWC,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
YO6OLGAK,1,109.970,-16.490,0.000,93.480,9.500,0.000,102.980
XZXXNN4T,1,94.980,-14.240,0.000,80.740,5.000,0.000,85.740
NKPEHH0A,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
SPD17,1,59.990,-10.190,0.000,49.800,0.000,0.000,49.800
GR8C9lDdNJ,1,119.980,-11.990,0.000,107.990,0.000,0.000,107.990
FEK9EMP2,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
YYVJ0223,1,99.980,-14.990,0.000,84.990,5.000,0.000,90.990
1RJV6OD3,1,84.980,-12.740,0.000,72.240,9.500,0.000,85.350
EPRC6LHJ,1,104.980,-15.740,0.000,89.240,5.000,0.000,94.240
UBTERGIC,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
DKP7KNZB,1,104.980,-15.740,0.000,89.240,9.500,0.000,98.740
OTD3YGIP,1,149.970,-22.490,0.000,127.480,0.000,0.000,127.480
CGA1IZXS,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
ZZWUTFYM,1,164.960,-24.740,0.000,140.220,0.000,0.000,140.220
LEANN,1,229.950,-45.990,0.000,183.960,0.000,0.000,183.960
GRPAYAhL7iHxo,1,51.980,-2.000,0.000,49.980,5.000,0.000,54.980
FM0PU2EE,1,84.980,-12.740,0.000,72.240,9.500,0.000,81.740
IMD3FAPO,1,99.980,-14.990,0.000,84.990,5.000,0.000,89.990
U1NOLRM9,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
WMU2DOZI,1,109.980,-16.490,0.000,93.490,0.000,7.020,100.510
BVYOWKOV,1,139.980,-20.990,0.000,118.990,0.000,0.000,124.940
UXIECDW4,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
FS20,1,199.980,-39.990,0.000,159.990,0.000,11.200,171.190
GRvOzkrk7z,1,140.950,-5.000,0.000,135.950,9.000,0.000,144.950
KBY9BXSD,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
W0KYPLBK,1,149.970,-22.490,0.000,127.480,0.000,0.000,127.480
VQCVPWDG,1,99.980,-14.990,0.000,84.990,9.500,0.000,94.490
CSWAI4WG,1,149.970,-22.490,0.000,127.480,9.500,0.000,136.980
U1OTZ6QL,1,99.980,-14.990,0.000,84.990,5.000,6.300,96.290
57V5Q0KL,1,74.990,-11.240,0.000,63.750,9.990,0.000,73.740
